expected_frac	lower_ci	upper_ci	feature	feature_value	metaedge
0.071428575	0.03257192	0.123838484	Scaled degree	0.05490451388888901	AlD
0.067891374	0.04954585	0.08884871	Scaled degree	0.05619652777777792	AlD
0.056935817	0.038089402	0.0792503	Scaled degree	0.057403325265099135	AlD
0.06438792	0.046572052	0.08482399	Scaled degree	0.05892065308740288	AlD
0.06774194	0.046743985	0.09225561	Scaled degree	0.060429481710967535	AlD
0.09348199	0.07122792	0.118375495	Scaled degree	0.06231803646429919	AlD
0.065853655	0.047643386	0.08673479	Scaled degree	0.06360415535649674	AlD
0.113084115	0.08767913	0.14122711	Scaled degree	0.06569750052018311	AlD
0.088181816	0.0659631	0.11323443	Scaled degree	0.06732648375834871	AlD
0.0994109	0.078066245	0.12298919	Scaled degree	0.06956959552195996	AlD
0.09901961	0.074652866	0.12636237	Scaled degree	0.072181633376992	AlD
0.082417585	0.058969483	0.10933802	Scaled degree	0.074047146506363	AlD
0.105316974	0.07970934	0.13397983	Scaled degree	0.07578498548497271	AlD
0.09794776	0.07426674	0.12446809	Scaled degree	0.07742974428868102	AlD
0.11063465	0.086491026	0.13730685	Scaled degree	0.08025524114643026	AlD
0.13864043	0.11127335	0.16845548	Scaled degree	0.08276590812923164	AlD
